"subjectID" "activityID" "activityLabel" "variable" "mean"
"1" 1 2 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.265130137749216
"2" 1 2 "WALKING_UPSTAIRS" "tBodyAccmeanY" -0.0185590134726959
"3" 1 2 "WALKING_UPSTAIRS" "tBodyAccmeanZ" -0.108975792340125
"4" 1 2 "WALKING_UPSTAIRS" "tBodyAccstdX" -0.584539467328931
"5" 1 2 "WALKING_UPSTAIRS" "tBodyAccstdY" -0.39909289878558
"6" 1 2 "WALKING_UPSTAIRS" "tBodyAccstdZ" -0.536504094358307
"7" 1 2 "WALKING_UPSTAIRS" "tGravityAccmeanX" 0.730741616570533
"8" 1 2 "WALKING_UPSTAIRS" "tGravityAccmeanY" -0.0608347193134796
"9" 1 2 "WALKING_UPSTAIRS" "tGravityAccmeanZ" 0.086953080507837
"10" 1 2 "WALKING_UPSTAIRS" "tGravityAccstdX" -0.960106153793103
"11" 1 2 "WALKING_UPSTAIRS" "tGravityAccstdY" -0.951687434539185
"12" 1 2 "WALKING_UPSTAIRS" "tGravityAccstdZ" -0.927506230724138
"13" 1 2 "WALKING_UPSTAIRS" "tBodyAccJerkmeanX" 0.0783408328178683
"14" 1 2 "WALKING_UPSTAIRS" "tBodyAccJerkmeanY" 0.0159134348518495
"15" 1 2 "WALKING_UPSTAIRS" "tBodyAccJerkmeanZ" -0.00848661885111599
"16" 1 2 "WALKING_UPSTAIRS" "tBodyAccJerkstdX" -0.557076221469279
"17" 1 2 "WALKING_UPSTAIRS" "tBodyAccJerkstdY" -0.494172400365831
"18" 1 2 "WALKING_UPSTAIRS" "tBodyAccJerkstdZ" -0.738499733742947
"19" 1 2 "WALKING_UPSTAIRS" "tBodyGyromeanX" -0.0234054649840439
"20" 1 2 "WALKING_UPSTAIRS" "tBodyGyromeanY" -0.084901663477116
"21" 1 2 "WALKING_UPSTAIRS" "tBodyGyromeanZ" 0.0872530964713166
"22" 1 2 "WALKING_UPSTAIRS" "tBodyGyrostdX" -0.702410251081505
"23" 1 2 "WALKING_UPSTAIRS" "tBodyGyrostdY" -0.484224282954075
"24" 1 2 "WALKING_UPSTAIRS" "tBodyGyrostdZ" -0.626764226316614
